DISTNAME,DISTRICT,DZCNTYNM,REGION,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT22R,DA0912DR22R,DAGC4X22R,DAGC5X21R,DAGC6X20R,DA0GR22N,DA0GS22N,DDA00A001S23R,DDA00A001223R,DDA00A001323R,DDA00AR01S23R,DDA00AR01223R,DDA00AR01323R,DDA00AM01S23R,DDA00AM01223R,DDA00AM01323R,DDA00AC01S23R,DDA00AC01223R,DDA00AC01323R,DDA00AS01S23R,DDA00AS01223R,DDA00AS01323R,DDB00A001S23R,DDB00A001223R,DDB00A001323R,DDH00A001S23R,DDH00A001223R,DDH00A001323R,DDW00A001S23R,DDW00A001223R,DDW00A001323R,DDI00A001S23R,DDI00A001223R,DDI00A001323R,DD300A001S23R,DD300A001223R,DD300A001323R,DD400A001S23R,DD400A001223R,DD400A001323R,DD200A001S23R,DD200A001223R,DD200A001323R,DDE00A001S23R,DDE00A001223R,DDE00A001323R,DA0CT22R,DA0CC22R,dA0csa22r,dA0caa22r,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTINFP,DPSTASFP,DPSTPIFP,DPSTTWFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRAOPRT,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFRAORVT,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
RED LICK ISD,019911,019 BOWIE,08,2,525,1.7,4.8,88.8,0.4,0.8,0,3.6,9.9,0.8,6.3,0.8,1.7,11,94.9,,,,,,,92,73,37,96,84,52,90,65,28,84,59,21,100,82,45,79,71,36,91,62,24,92,73,38,-1,-1,-1,91,82,45,,,,96,69,35,89,70,28,,,,,69.9,44,2.9,2.9,7.1,62.9,7.1,17.1,92911,90744,68242,52996,10,7.5,11.9,13.6,14.3,31.8,12.5,2.3,2.3,93.2,2.3,0,0,0,92.3,4.8,2.3,0,0.6,0,528933,1.09,6476996,12954,5971315,45.7,44.9,9.4,505681,3463246,0,5834247,5421858,10844,61.9,8.2,5.9,12.8,11.3,3355915,6712,57.8,9.2,2.9,0,0.2,0.4,1.1,0,0,27.1,500 to 999,Rural,"$523,458 to < $547,824",$1.0600 to under $1.1800
PLEASANT GROVE ISD,019912,019 BOWIE,08,4,2302,14.2,7.6,69,0.3,2.7,0.1,6,37.2,3.9,10.6,3.8,35,10.3,93.8,0,99.4,99.4,96.8,165,155,91,69,30,92,73,31,91,66,25,92,67,32,87,66,35,79,45,10,92,66,22,94,75,35,86,71,43,95,72,39,-1,-1,-1,90,65,22,84,54,16,94.5,30.1,1155,20.3,287.4,181.7,2.4,3.5,9.2,63.2,10.3,11.4,109432,86793,65985,53493,7.1,8,12.7,40.2,10.3,29.2,25.4,1.7,1.7,90,0,0,0,6.7,82.8,4.2,4.2,0.4,7.8,0.6,440359,1.362,32143326,13897,24377601,42.6,46.8,10.6,7765725,5559390,0,31966723,24525564,10603,58.3,9.9,5.3,10.9,15.7,14294660,6180,47.1,8.8,4.1,0.4,5.6,0.2,3.2,0,0,28.7,"1,600 to 2,999",Non-metropolitan Stable,"$437,254 to < $466,931",$1.3001 and over
HUBBARD ISD,019913,019 BOWIE,08,1,77,0,16.9,77.9,0,0,0,5.2,63.6,14.3,14.3,14.3,0,3.9,93.7,,,,,,,75,45,19,76,50,29,82,47,15,45,18,0,80,60,20,,,,62,33,0,80,51,26,,,,,,,,,,-1,-1,-1,66,38,11,,,,,17.3,8,2.9,2.9,0,46.5,36.7,11,68500,68500,,47294,0,4.5,9.6,66.7,6.2,0,38.5,0,0,100,0,0,0,0,88.9,0,11.1,0,0,0,369329,0.907,1356243,19656,1356243,58.3,18.5,23.2,0,1443396,0,1159449,1159449,16804,63.5,14.5,4.7,6.3,11.1,735995,10667,43.3,6,17.5,0.3,0,0.1,0,0,2.5,27.4,Under 500,Rural,"$355,840 to < $399,525",Under $1.0600
LEARY ISD,019914,019 BOWIE,08,1,93,2.2,10.8,82.8,0,0,0,4.3,97.8,0,10.8,0,0,2.2,96.1,,,,,,,68,40,6,83,63,11,63,34,6,64,14,0,33,11,0,-1,-1,-1,64,55,0,66,39,6,,,,,,,,,,75,25,13,68,40,6,,,,,18,10,2.8,2.8,0,55.6,22.2,16.7,97000,97000,,47318,0,5.2,9.3,20,11.2,0,18.2,0,0,100,0,0,0,0,70,10,20,0,0,0,465175,0.92,1509777,14379,1509777,52.6,31.7,15.7,0,1570198,0,1255100,1204281,11469,60.8,14.7,6,6.2,12.2,732578,6977,39.7,10,13.5,0,0,0.1,0,0,5,29.5,Under 500,Rural,"$437,254 to < $466,931",Under $1.0600
ALVIN ISD,020901,020 BRAZORIA,04,33,29100,25.4,40.5,21,0.2,9.5,0.1,3.3,53.7,17.7,13.4,17.8,25.9,7,94.1,0.1,97.5,99.2,99.3,1928,1677,81,54,23,82,59,24,80,49,21,83,55,22,81,54,28,79,49,17,77,47,16,86,62,29,82,44,17,96,85,56,77,32,10,88,66,31,74,42,13,56.3,35.4,1021,20.7,3712.1,1862.8,0.8,4.2,7.9,50.2,10.5,26.4,136072,82556,78579,64972,49.5,7.8,15.6,31.2,10.5,28.6,22.8,21.7,19,53.4,0.5,3.3,0.1,2,67.4,9.7,1.2,4.6,5.4,11.6,325500,1.398,407593401,14580,352118107,55,32.7,12.3,55475294,85924596,0,460647987,304900580,10907,59.9,6.5,5.1,10.5,18,182612639,6532,48.5,12.7,5.2,0.8,3.2,1,2.1,0,0.6,23.9,"25,000 to 49,999",Major Suburban,"$316,888 to < $355,840",$1.3001 and over
ANGLETON ISD,020902,020 BRAZORIA,04,11,6885,11.6,51.5,32.6,0.4,0.4,0.1,3.5,69.5,15.9,14.6,19.3,32.5,5.6,93.5,0.8,97.3,98.9,99.8,480,380,79,50,18,80,53,17,80,48,18,80,50,17,74,43,18,73,39,12,77,46,15,85,59,23,78,45,20,89,79,51,100,56,13,76,50,17,76,44,13,38.2,27.3,980,19.9,998.2,462.9,1.1,3.6,9.9,46.4,11.7,27.3,130770,82819,71334,63801,42.6,6.9,14.9,55.8,7.4,21.3,20.2,8.4,18.9,69,0.4,0.9,0,2.4,74.7,6.9,2.4,7.1,7.4,1.4,607952,1.267,96598296,14315,78355567,32,51.2,16.8,18242729,30505924,0,133622401,78998368,11707,54.4,7.2,4.5,12.2,21.7,42947211,6364,31.3,12.5,8.1,1,4.9,1.1,1.8,0.2,0,28.9,"5,000 to 9,999",Other Central City Suburban,"$604,829 to < $640,713",$1.1800 to under $1.3001
DANBURY ISD,020904,020 BRAZORIA,04,4,733,0.5,25.4,70.9,0.1,0.1,0,2.9,38.2,7,13.4,6.7,28.6,5.2,93.9,0.4,98.5,97,98.4,66,64,84,54,19,83,59,19,84,49,17,86,47,14,86,61,34,-1,-1,-1,78,43,12,86,58,21,100,78,33,,,,,,,81,45,23,78,43,12,28.8,52.6,1084,-1,120.8,60.7,3.3,4.6,8.9,50.3,11.6,21.4,116396,82939,67554,64530,18.2,6.1,12.1,34.9,10.6,8.2,27.1,0,12.8,83.9,0,1.6,0,1.6,74.3,14,1.6,1.6,8.4,0,474887,1.291,11664803,15110,10462847,52.5,36.7,10.8,1201956,5236260,0,12053995,10522356,13630,52,11.2,5.6,14.2,17,5473206,7090,42.5,10.3,3.3,0.3,4.1,0.1,4.2,0,0,33.6,500 to 999,Rural,"$466,931 to < $488,752",$1.1800 to under $1.3001
BRAZOSPORT ISD,020905,020 BRAZORIA,04,21,11583,6.9,56.7,31.6,0.4,1.4,0,3,68.4,13.8,15.4,13.4,28.4,11.3,90.9,1.8,89.5,92.6,92.9,791,689,76,47,17,77,51,17,77,45,18,75,41,12,75,43,19,61,29,8,75,42,13,83,58,25,74,40,17,91,72,41,100,57,43,71,42,15,72,40,12,72.9,18.5,917,22.8,1906.6,850.7,0.9,2.7,13.6,44.6,13.7,24.4,147920,90597,70399,62380,38.8,6.1,13.6,38.3,10.6,20,18.7,7.4,19.5,70.6,0.2,0.6,0,1.6,62.5,13.7,6,5.3,7,5.5,844079,1.179,201410814,17589,163493633,9.8,72.3,18,37917181,55748760,0,240482634,145882909,12740,55.2,6,5.9,11.5,21.4,80488219,7029,39.3,12.8,9.6,1.2,3.7,3.3,2.4,0,0.6,24.8,"10,000 to 24,999",Other Central City Suburban,"$836,417 to < $989,691",$1.0600 to under $1.1800
SWEENY ISD,020906,020 BRAZORIA,04,3,1898,10.7,27.3,56.6,0.1,0.3,0,5.1,59.6,4.2,9.7,3.9,28.8,4.1,91.8,0,96.8,100,100,130,103,76,43,12,75,47,10,74,36,11,78,47,14,77,50,23,62,30,4,74,41,10,78,47,15,-1,-1,-1,83,17,0,,,,83,45,13,68,32,7,100,24.3,951,-1,293.8,131.8,2.4,4.8,7.8,44.9,6.3,33.9,98644,80449,74627,63420,30.9,6.5,14.4,32.2,12.4,12.8,29,9.1,6.8,80.3,0,0,1.5,2.3,87.6,4.7,0.8,0,4.8,2.1,1147748,1.036,34828674,18816,28666381,10.8,69.4,19.9,6162293,16772733,0,33751830,25471756,13761,52.4,9.5,5.3,13.7,19.1,13355654,7215,41.1,11.4,6.1,0.2,4.2,0.2,3.5,0,0.9,30.3,"1,600 to 2,999",Non-metropolitan Stable,"$1,048,130 to < $1,147,749",Under $1.0600
COLUMBIA-BRAZORIA ISD,020907,020 BRAZORIA,04,6,2917,7.5,28.1,60.8,0.2,0.3,0,3.1,65.8,8.9,16.2,8,34.2,6.5,91.4,0.2,98.1,98.8,98.5,155,133,76,47,17,77,52,19,76,42,15,79,49,17,73,44,24,62,28,5,71,40,12,81,53,22,75,69,38,100,80,60,-1,-1,-1,72,36,9,71,39,12,48.4,33.3,984,-1,441.7,198.1,1.6,2.9,8.7,44.8,12.1,29.8,115685,81617,64932,59672,29.4,6.6,14.7,27.1,13.9,11.1,21.4,7.6,10.8,80.6,0.5,0.5,0,0,76.9,11.9,0,0.2,7.6,3.3,610255,1.072,38204810,13124,33260082,34.9,47.8,17.2,4944728,10886583,0,36193140,32029188,11003,54.7,7.5,5.4,13.4,19,17520971,6019,38,10,8.1,0.5,5,1.7,0.8,0,0,33.2,"1,600 to 2,999",Non-metropolitan Stable,"$604,829 to < $640,713",$1.0600 to under $1.1800
PEARLAND ISD,020908,020 BRAZORIA,04,24,21167,15.3,38,30.8,0.2,11.6,0.1,4,37.1,12.7,11.3,14.2,22.5,11.9,94.6,0,99.5,99.7,99.8,1603,1395,88,68,37,89,72,37,87,64,34,89,69,39,88,65,40,82,56,25,83,58,25,93,78,45,88,66,36,97,90,69,91,76,50,93,78,47,79,51,20,65.6,62.8,1147,24.8,2529.2,1282.8,0.8,2.7,11.7,50.7,7.1,26.8,135085,97793,79265,64944,44.5,8.4,16.5,25.6,12,27.6,17.2,10.7,19.2,65.1,0.2,2.5,0.2,2.1,68.4,9.7,2.5,3.4,4.8,11.2,431744,1.315,244999668,11706,208518344,44.4,43.4,12.3,36481324,35037914,0,259783188,212106530,10134,54.9,6.3,6,11.4,21.4,116431015,5563,42,14.5,3.8,0.4,3.6,1.4,1.9,0,0,27.4,"10,000 to 24,999",Major Suburban,"$399,525 to < $437,254",$1.3001 and over
DAMON ISD,020910,020 BRAZORIA,04,1,93,2.2,57,31.2,0,2.2,3.2,4.3,82.8,18.3,21.5,17.2,0,1.1,95.5,,,,,,,72,36,8,73,47,10,69,35,8,81,19,6,56,11,0,80,20,0,62,35,6,89,43,14,,,,,,,-1,-1,-1,-1,-1,-1,72,36,8,,,,,23.2,13.3,2.2,2.2,2.8,57.5,25.9,9.5,231500,231500,154966,72459,56.1,4,7,67.4,7.5,40,46.2,22.5,7.5,24.9,7.5,37.5,0,0,93.1,6.7,0.3,0,0,0,999529,0.96,2820052,24311,2820052,32.2,48.5,19.3,0,444933,0,2642791,2360456,20349,50.5,19.3,2.5,15.7,11.9,1192179,10277,41.4,2.6,10,0,0,0.1,0.3,0,1.1,43.2,Under 500,Rural,"$989,691 to < $1,048,130",Under $1.0600
BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,021803,021 BRAZOS,06,2,308,34.7,58.4,3.9,0.3,1,0,1.6,95.8,39.9,9.1,39.9,0,0,93.6,,,,,,,68,36,11,74,35,13,69,42,12,38,19,4,,,,63,34,9,70,33,9,56,50,19,,,,,,,,,,100,100,60,69,37,12,,,,,57.5,23.4,0,3.5,5.4,40.7,21.8,28.6,,75000,59318,50328,76.9,5.4,13.2,45.8,8.3,40.6,27.7,49.6,12.8,33.3,0,4.3,0,0,84.2,4.3,3.5,8.1,0,0,0,0,4812992,14585,4779198,67.3,0.2,32.5,33794,0,633587,4437280,4415126,13379,57,14.6,7.6,12.8,8.1,2514879,7621,32.1,7.1,17.8,1.4,0,0,0,0,2.7,34.4,Under 500,Charters,Non-taxing entities,Non-taxing entities
ARROW ACADEMY,021805,021 BRAZOS,06,4,675,59.9,31.9,3.6,0.7,0.3,0,3.7,75.3,13.2,12.1,12.3,0,0.7,93.5,,,,,,,72,37,11,80,46,13,73,36,11,42,8,2,,,,70,37,11,76,38,10,82,43,21,43,29,14,,,,,,,70,26,4,71,35,10,,,,,84.3,46.9,8.9,3.9,5.9,55.7,15.8,9.8,86039,85978,56012,52979,88.1,8,14.4,68.4,7.3,25.2,39.9,74.9,12.3,12.8,0,0,0,0,93.6,6.4,0,0,0,0,0,0,8672024,14240,8672024,72.3,0.6,27.1,0,0,8545,8462021,8462021,13895,50.8,9.8,7.8,16.5,15.1,4295285,7053,40.9,8,16,0.9,0,0,0,0,0,30.6,500 to 999,Charters,Non-taxing entities,Non-taxing entities
COLLEGE STATION ISD,021901,021 BRAZOS,06,21,14406,14.9,24,50.5,0.4,6.7,0.2,3.3,40.9,10.4,14.4,12.7,33.2,10.8,93.8,0.6,95.1,96.2,95.4,977,779,82,60,30,82,61,27,82,57,29,85,62,31,84,65,43,60,29,9,75,47,19,90,72,37,91,59,23,96,87,62,80,57,18,82,60,29,67,37,12,72.4,59,1136,23.4,2020.1,1008.1,0.7,2.1,10.8,49.9,14,22.5,123964,80518,66695,53642,31.2,7.1,14.3,31.1,12.3,29.6,18.8,3.7,14.2,80.7,0.2,0.6,0.1,0.5,66.4,8.7,4.9,6.6,6.2,7.2,801104,1.215,179651805,12707,147249537,7.5,75.6,16.9,32402268,28005339,0,190508124,149203729,10553,56,6.2,4.7,11.7,21.4,83557670,5910,41.8,13.4,6.5,1.3,3.1,0.8,3.5,0,0.7,26.9,"10,000 to 24,999",Other Central City,"$753,747 to < $836,417",$1.1800 to under $1.3001
BRYAN ISD,021902,021 BRAZOS,06,25,16011,17.5,60.3,18.8,0.2,0.4,0.1,2.7,77.3,29.5,15.9,31.5,29.9,8,91.6,1.7,90.3,93.6,92.5,1017,839,69,39,14,70,43,14,68,35,13,73,39,12,65,39,19,55,24,6,69,36,11,84,63,29,57,22,6,91,74,44,95,84,37,77,53,24,66,33,10,63.9,24,934,19.5,2597.8,1186.2,1.6,4.6,10,45.7,12.4,25.7,99137,71889,67705,54620,50.2,6.2,13.5,45.4,10,26.3,23.5,9.6,25.3,63.3,0.5,1,0,0.3,59.3,11.1,4.5,12.6,5.3,7.2,592853,1.227,225239648,14073,195788852,30.3,48.5,21.1,29450796,40980474,0,272504847,200639542,12536,58.1,5.4,5.6,8.7,22.2,116634268,7287,39.2,14.7,14.8,1.2,3.1,0.3,1.8,0.1,0,22.1,"10,000 to 24,999",Other Central City,"$574,353 to < $604,829",$1.1800 to under $1.3001
TERLINGUA CSD,022004,022 BREWSTER,18,1,122,0.8,77,19.7,0.8,0,0,1.6,77.9,48.4,13.9,48.4,23,8.2,93.1,0,100,100,100,6,6,51,24,8,49,27,9,43,16,2,63,23,3,67,38,29,,,,45,18,5,80,53,23,,,,,,,,,,-1,-1,-1,51,25,9,66.7,-1,-1,-1,28,13.3,5.4,4.2,3.6,47.6,21.3,17.9,93796,77819,71035,48547,46.4,4.4,9.2,52.5,12.2,39.9,36.3,0,32.4,67.6,0,0,0,0,86.5,1.9,3.1,1.1,7.5,0,969108,0.904,2619168,23596,2619168,35.6,42.8,21.6,0,1877730,0,4356844,2189489,19725,54.9,14.3,5.8,10.5,14.5,1201003,10820,28.2,3.7,31.6,0.8,2.3,0.6,0,0,0,30.6,Under 500,Rural,"$836,417 to < $989,691",Under $1.0600
ALPINE ISD,022901,022 BREWSTER,18,3,952,1.2,60.5,36.1,0.4,0.9,0.1,0.7,52.3,7.2,13.7,7,27.1,3.3,93.2,0.3,97.7,92.6,97.1,83,81,81,51,17,82,56,12,72,41,16,87,45,13,91,71,45,100,82,45,78,45,13,85,60,22,86,57,29,92,83,67,-1,-1,-1,55,45,27,77,43,12,69.9,34.5,1036,20,173.8,87.4,1.7,3.5,5.5,50.3,15.9,23.1,103395,75514,62642,47641,58.4,5.5,10.9,36.6,12.9,26.9,25,1.1,49.8,46.2,0,2.3,0,0.6,79.3,8.3,7.7,0,4.8,0,791734,1.212,16426799,16935,14988067,25.4,50.6,24,1438732,4377832,0,31181977,14131134,14568,50.4,9.4,6,11.5,22.6,7115292,7335,33.7,21.7,7.2,0.5,2.6,0.4,4.9,0.1,0,27.7,500 to 999,Non-metropolitan Stable,"$753,747 to < $836,417",$1.1800 to under $1.3001
MARATHON ISD,022902,022 BREWSTER,18,1,59,3.4,64.4,32.2,0,0,0,0,61,0,6.8,0,18.6,8.5,95.3,0,-1,-1,-1,4,3,88,57,17,82,68,12,90,57,27,94,61,17,88,0,0,,,,84,46,8,97,79,34,,,,,,,,,,,,,83,47,14,-1,-1,-1,-1,17.7,11.3,7.1,1.4,0,63.9,10.9,16.7,81621,86298,,54011,55,3.3,5.2,17.7,18.1,55.7,25.7,0,38,62,0,0,0,0,76,0,0.8,0,9.7,13.5,1935104,0.979,1728456,30324,1728456,32.4,64.9,2.7,0,1191380,0,1712924,1591230,27916,49.5,23.7,5.9,11,9.9,787775,13821,40.5,1.8,10.2,0,2.1,0,4.1,0,0.4,38.3,Under 500,Rural,"$1,147,749 and over",Under $1.0600
SAN VICENTE ISD,022903,022 BREWSTER,18,1,8,0,50,50,0,0,0,0,0,12.5,12.5,0,0,12.5,91.1,,,,,,,100,75,44,100,100,40,100,60,40,-1,-1,-1,-1,-1,-1,,,,100,50,0,100,90,70,,,,,,,,,,,,,,,,,,,,9.5,4,5.3,5.3,21.1,42.1,0,26.3,125939,125939,71500,66498,36.8,0.8,2,50,14.8,0,25,0,0,100,0,0,0,0,75,25,0,0,0,0,1035216,0.963,1423699,158189,1406870,71.5,9.6,18.9,16829,1022789,0,1317156,1218403,135378,34,26.3,13.8,6.9,19,414572,46064,33.5,8.6,2.4,0.3,0,1.7,0,0,2.5,48.6,Under 500,Rural,"$989,691 to < $1,048,130",Under $1.0600
SILVERTON ISD,023902,023 BRISCOE,16,1,213,0,39.9,57.7,0.5,0.5,0,1.4,49.3,5.6,10.3,5.6,29.6,8.9,95.1,0,100,100,100,9,9,84,59,27,84,64,27,85,62,32,84,51,24,82,47,18,,,,76,49,17,92,69,37,,,,,,,,,,-1,-1,-1,77,50,22,100,11.1,-1,18.7,37.4,19.6,2.7,2.7,4.4,52.5,14.4,23.4,94300,77900,61314,50512,23.1,5.7,10.8,19.5,13.4,12.1,9.1,0,9.7,90.3,0,0,0,0,82.3,0,4.7,0,13,0,873238,1.222,4033158,21568,3003070,34.8,53.1,12.2,1030088,3049866,0,3955610,3005342,16071,51.9,15.3,4.2,12.9,15.8,1559055,8337,32.3,4.6,9.6,0.4,6.9,0.3,3.7,0,0.2,39.7,Under 500,Rural,"$836,417 to < $989,691",$1.1800 to under $1.3001
BROOKS COUNTY ISD,024901,024 BROOKS,01,5,1284,0.2,97.2,2.3,0.1,0.2,0,0,93.3,2.3,14.9,1.9,24.4,2.3,89.6,2.3,93.9,96.7,93.1,90,83,64,33,7,67,37,6,59,29,7,62,26,6,67,35,11,,,,63,32,7,79,31,7,-1,-1,-1,-1,-1,-1,,,,,,,63,31,6,43.3,23.1,969,18.5,197.8,89,2,3,7.6,45,9.8,32.6,123796,86608,69257,55715,93.2,6.5,14.4,48.5,10.5,23.2,30.8,3.4,87.1,9.6,0,0,0,0,80.1,9.6,2.8,0,4.7,2.8,371120,1.508,28064005,20943,25667053,39.2,21.7,39.1,2396952,8253968,0,26329520,21071956,15725,49.1,9.9,4.2,15.5,21.4,10334893,7713,24.5,9.4,21.4,0,5.3,1.2,2.7,0,0.8,33.1,"1,000 to 1,599",Other Central City Suburban,"$355,840 to < $399,525",$1.3001 and over
BANGS ISD,025901,025 BROWN,15,3,858,2,26.1,68.9,0.1,0.6,0,2.3,66.2,1.7,10.8,1.6,25.9,4.3,93.3,0.7,93.2,98.4,100,59,52,82,50,16,84,58,21,77,39,8,87,50,14,85,58,23,46,15,4,81,46,12,84,53,18,-1,-1,-1,50,50,50,,,,77,62,4,77,43,12,88.1,15.4,1108,16.7,143.2,73.9,0.9,3.5,2.8,51.6,11.1,30.2,135282,73327,62796,46640,16.3,6,11.6,37.9,12,25,32.9,2.7,9.5,87.8,0,0,0,0,81.6,5.1,4.2,0.5,8.6,0,550984,0.986,13090065,15063,11855272,44.6,36.9,18.5,1234793,2584074,0,12353266,9843297,11327,54.8,7.2,6.6,11.7,19.6,5397347,6211,42.7,4.9,8.9,0.1,5.8,0.3,4,0,1.3,29.4,500 to 999,Rural,"$547,824 to < $574,353",Under $1.0600
BROWNWOOD ISD,025902,025 BROWN,15,7,3439,4.3,44.2,46,0.3,0.4,0,4.8,67.5,3.4,15.1,3.4,26.7,7.1,92.4,1.7,93.6,95.8,98.2,227,213,77,49,17,77,53,17,77,46,17,81,49,16,73,45,20,65,28,6,73,43,12,82,58,23,89,67,33,100,85,75,,,,73,46,19,71,41,12,76.7,25.3,967,22.1,505.5,259.7,2.7,2.8,9.4,51.4,17.7,16,98493,80098,63734,52809,20.8,6.8,13.2,30.8,12.8,18.4,18.7,1.9,7.6,89.3,0,0,0,1.2,72.7,7.3,6,0.1,8.4,5.5,483429,1.075,45229703,13118,42091315,35.8,39.7,24.5,3138388,6449651,0,44734007,41252562,11964,58.1,8,4.5,10.9,18.5,23962904,6950,39.2,12.2,7.6,0.1,5.2,0.4,2.8,0,1.1,28.8,"3,000 to 4,999",Independent Town,"$466,931 to < $488,752",$1.0600 to under $1.1800
BLANKET ISD,025904,025 BROWN,15,1,142,0,34.5,65.5,0,0,0,0,62.7,2.8,13.4,2.8,37.3,7,94.8,0,100,100,100,11,11,64,34,10,77,45,13,53,23,8,50,28,6,73,36,14,,,,63,37,6,65,32,13,,,,,,,,,,,,,57,26,6,54.5,16.7,-1,-1,35,20.2,2.9,2.9,2.2,57.8,8.6,25.7,75000,72434,40000,47250,5.7,4.1,7,90.1,1.5,6.1,29.5,0,4.9,95.1,0,0,0,0,78.5,5,0,0,16.5,0,585092,1.021,2858272,19444,2777371,48.6,35.2,16.2,80901,708891,0,2673249,2485484,16908,53.7,11.1,5.6,11.1,18.5,1335821,9087,29.7,4.1,14.9,0.1,8.5,0.3,5.3,0,3.6,32.7,Under 500,Rural,"$574,353 to < $604,829",Under $1.0600
MAY ISD,025905,025 BROWN,15,2,254,0.4,19.3,75.2,0,0,0,5.1,62.6,5.9,16.9,5.9,29.1,7.5,93.8,0,96,100,100,24,24,81,51,11,87,65,13,74,36,8,79,44,10,81,57,19,-1,-1,-1,61,33,7,85,55,12,,,,,,,,,,69,38,15,78,44,9,70.8,17.6,-1,19.5,46.2,25.9,3.2,3.6,3.2,56,3.8,30,81000,68678,63740,50227,8.6,5.5,9.8,26.8,14,16.3,14.7,0,7.6,92.4,0,0,0,0,65.6,7.7,9.9,0,16.8,0,1070004,1.027,4690279,20662,4224193,19.7,52.3,28,466086,1977816,0,4520531,3925948,17295,52.3,12.2,8.1,12.2,15.2,2053778,9047,29.7,8.8,16.2,0,5.9,0.3,3.5,0,0,33,Under 500,Rural,"$1,048,130 to < $1,147,749",Under $1.0600
ZEPHYR ISD,025906,025 BROWN,15,1,226,0.4,11.9,81.9,0.4,0,0.9,4.4,61.5,0.9,13.3,0.9,23,8.4,95.2,0,87.5,100,100,7,7,86,53,17,89,63,24,83,41,10,81,51,11,88,56,19,-1,-1,-1,76,47,24,87,55,15,,,,,,,,,,86,41,18,81,52,14,42.9,-1,-1,-1,37.3,21.1,2.7,4.7,5.3,56.5,12,18.8,100000,72739,43522,50401,5.4,6.1,10.7,20.6,14.6,15.4,26.8,0,0,100,0,0,0,0,70.6,5.4,9.3,0,14.2,0.5,342476,1.097,3618608,17069,3355913,59.4,22.1,18.5,262695,863372,0,3613354,2805821,13235,54,12.3,6.1,11,16.6,1515259,7147,33.4,3.1,15.6,0,7.1,0.6,5.4,0,0.9,31.5,Under 500,Rural,"$316,888 to < $355,840",$1.0600 to under $1.1800
BROOKESMITH ISD,025908,025 BROWN,15,6,188,6.4,21.3,70.2,0.5,0,0,1.6,58.5,0.5,25,1.6,28.2,1.1,94.1,0,85.7,100,100,6,6,67,34,9,71,34,10,61,28,5,72,42,8,62,38,19,,,,71,29,3,66,35,10,-1,-1,-1,,,,,,,,,,62,32,11,83.3,40,-1,21.8,51.3,22,1.8,7.5,11.3,42.8,15,21.7,98999,75809,50705,58420,28.8,3.7,8.6,27.7,12.8,33.6,19.6,22.7,3.6,73.7,0,0,0,0,89.3,3.7,0,0,7,0,757596,1.028,5239755,27433,4570039,53.1,36.5,10.4,669716,1717524,0,3883688,3604953,18874,48.2,17.6,9.7,7.8,16.7,1736511,9092,36.4,19.2,6.5,0,3.4,0,1.7,0,0,32,Under 500,Rural,"$753,747 to < $836,417",Under $1.0600
EARLY ISD,025909,025 BROWN,15,4,1148,1.7,27.3,65.2,0.1,1.8,0,3.9,46.8,2.6,10.2,2.5,28.4,5.5,94.9,0.5,100,100,97.6,71,70,89,62,23,90,64,20,87,57,21,92,61,17,95,75,44,85,35,9,85,53,16,92,67,25,-1,-1,-1,84,59,28,,,,82,57,16,84,52,15,53.5,44.7,1062,21.5,179.4,95.9,2.2,2.8,6.1,53.5,14.9,20.6,99446,73927,64292,52869,18.9,6.4,12,18.5,13.9,20.6,16.3,0,10.5,84.3,1,0,2.1,2.1,67.5,9,11.8,0.2,9.2,2.4,387022,1.326,17199279,15140,15770218,56.5,26,17.5,1429061,6406898,0,15463459,13972567,12300,58.6,7.5,6,9.5,18.4,8188915,7209,41.7,15.7,6.7,0.1,5.4,0.3,2.9,0,0,23.4,"1,000 to 1,599",Non-metropolitan Stable,"$355,840 to < $399,525",$1.3001 and over
